Education,Experience,Location,Job_Title,Age,Gender,Salary
PhD,22,Rural,Manager,64,Male,164542.837
High School,19,Urban,Manager,62,Male,95726.36719
Bachelor,19,Suburban,Engineer,24,Male,96598.32495
Bachelor,20,Rural,Engineer,60,Female,82628.1483
Bachelor,3,Suburban,Analyst,61,Female,66216.70162
PhD,13,Suburban,Engineer,35,Female,127167.116
High School,10,Urban,Director,20,Female,106028.6363
PhD,20,Urban,Analyst,59,Male,139655.8919
Master,9,Urban,Engineer,57,Male,100278.416
High School,6,Rural,Engineer,26,Female,67767.86962
PhD,21,Rural,Director,49,Male,148074.0579
PhD,22,Rural,Analyst,45,Female,143973.4648
Master,12,Rural,Manager,32,Female,106333.9698
PhD,2,Rural,Analyst,20,Female,96967.34243
Master,12,Rural,Manager,48,Female,113746.2958
PhD,16,Suburban,Engineer,27,Female,140823.2698
High School,13,Suburban,Manager,21,Female,88374.44797
Master,16,Urban,Analyst,64,Female,112591.9177
High School,13,Rural,Engineer,27,Male,53119.03312
High School,22,Suburban,Manager,60,Female,81946.59278
High School,25,Urban,Manager,46,Female,74817.18132
Bachelor,19,Urban,Analyst,60,Male,84868.78462
Bachelor,26,Urban,Engineer,42,Male,104215.4319
Master,14,Urban,Engineer,34,Male,117890.0214
High School,29,Suburban,Manager,51,Male,90605.45679
High School,13,Suburban,Manager,41,Female,77430.20945
Bachelor,10,Suburban,Manager,27,Male,91038.14555
PhD,22,Urban,Director,56,Male,169510.253
High School,7,Urban,Engineer,36,Male,58008.87062
Bachelor,5,Rural,Manager,26,Female,93375.47914
Master,17,Rural,Manager,62,Female,136608.8081
Master,9,Urban,Engineer,40,Female,113727.8966
PhD,27,Suburban,Director,58,Male,156729.0839
High School,6,Urban,Engineer,24,Female,60637.29856
Bachelor,16,Rural,Director,36,Female,118098.3722
Bachelor,6,Rural,Analyst,54,Male,59734.10574
PhD,6,Suburban,Engineer,34,Male,111461.9558
Bachelor,28,Urban,Engineer,59,Male,96355.51546
Bachelor,18,Rural,Analyst,35,Male,70214.86159
PhD,1,Suburban,Engineer,44,Male,105551.8368
Master,17,Rural,Analyst,34,Male,109899.0494
PhD,17,Suburban,Director,30,Male,163022.8256
PhD,1,Rural,Engineer,24,Male,104029.2693
Master,11,Rural,Analyst,40,Female,98073.34046
Master,13,Urban,Manager,61,Female,130591.5668
PhD,1,Suburban,Director,60,Male,137005.642
High School,27,Suburban,Director,31,Male,92450.57242
Master,8,Rural,Manager,49,Female,93295.98265
PhD,23,Urban,Manager,23,Male,163104.2755
Bachelor,20,Rural,Analyst,64,Male,89961.79412
High School,6,Rural,Manager,46,Male,71769.55893
Bachelor,5,Rural,Engineer,47,Male,63923.53099
Master,20,Suburban,Analyst,22,Female,112349.7719
High School,5,Urban,Director,22,Male,91289.99587
PhD,6,Rural,Engineer,43,Female,119140.3384
High School,29,Rural,Engineer,48,Male,71549.76783
Master,13,Rural,Director,38,Female,133122.6051
High School,27,Suburban,Engineer,21,Female,66723.68052
PhD,18,Rural,Director,24,Male,157287.4192
PhD,20,Suburban,Director,56,Female,165810.5594
High School,13,Suburban,Director,37,Female,103723.3032
PhD,7,Suburban,Director,44,Female,138575.0781
High School,8,Suburban,Analyst,45,Female,48005.69983
High School,21,Suburban,Engineer,63,Female,83938.80362
High School,17,Urban,Manager,32,Male,80007.84721
High School,1,Suburban,Analyst,54,Male,51439.95511
Master,24,Suburban,Manager,41,Female,125825.3778
PhD,16,Rural,Analyst,29,Female,111979.2803
High School,11,Urban,Engineer,56,Female,74209.99466
PhD,29,Urban,Director,63,Male,155079.8408
Master,4,Rural,Manager,61,Male,109922.0568
PhD,4,Suburban,Analyst,26,Male,104330.6891
PhD,17,Urban,Engineer,37,Female,119682.6865
Bachelor,17,Suburban,Engineer,51,Female,91498.92541
Bachelor,10,Rural,Analyst,64,Male,79316.33853
Bachelor,21,Urban,Director,26,Male,126769.346
High School,21,Suburban,Analyst,36,Female,79183.53731
Bachelor,6,Urban,Analyst,50,Male,57463.596
Bachelor,25,Urban,Analyst,48,Male,89948.55569
Bachelor,25,Suburban,Director,31,Male,121066.5229
PhD,17,Suburban,Manager,52,Female,157190.0328
High School,18,Urban,Analyst,58,Male,80837.44494
PhD,22,Rural,Engineer,45,Male,151013.4005
Bachelor,26,Urban,Manager,58,Female,110750.6058
Master,10,Rural,Engineer,49,Male,102744.17
High School,13,Urban,Engineer,22,Female,62000.29192
Bachelor,16,Suburban,Analyst,39,Female,81956.4778
Master,7,Rural,Manager,32,Female,99647.04282
High School,15,Rural,Analyst,38,Female,53660.11341
Master,2,Urban,Engineer,20,Male,98065.50879
High School,5,Urban,Analyst,61,Male,60027.1754
Bachelor,17,Rural,Director,42,Male,107222.1266
PhD,5,Suburban,Director,37,Female,145434.5344
Master,8,Rural,Analyst,62,Male,94399.88467
Master,24,Rural,Analyst,24,Female,105559.5437
Bachelor,28,Suburban,Analyst,24,Male,92774.21458
High School,15,Suburban,Analyst,38,Female,61928.6828
PhD,8,Urban,Analyst,25,Female,118509.6286
Bachelor,23,Urban,Director,34,Female,127909.7106
Bachelor,3,Urban,Manager,30,Male,101655.2519
PhD,23,Suburban,Analyst,49,Female,145740.4454
High School,17,Rural,Manager,39,Female,69022.9724
Master,28,Suburban,Analyst,54,Male,122693.7223
Master,16,Urban,Manager,23,Female,112053.2036
PhD,16,Rural,Director,28,Female,149731.7472
Master,19,Urban,Engineer,46,Male,129826.7228
PhD,12,Rural,Manager,38,Female,130504.105
PhD,24,Suburban,Director,24,Male,169726.3605
PhD,15,Urban,Manager,27,Female,133614.3213
Master,8,Suburban,Director,62,Male,114113.5472
Bachelor,27,Suburban,Engineer,49,Female,100641.9016
Master,3,Suburban,Director,55,Male,128222.1035
Master,23,Rural,Analyst,35,Female,103825.7054
PhD,18,Suburban,Analyst,23,Female,123464.469
Master,4,Suburban,Manager,23,Female,99083.71642
PhD,8,Rural,Analyst,26,Male,115028.8104
PhD,14,Suburban,Analyst,22,Female,136466.9514
Master,28,Suburban,Engineer,57,Male,130006.8011
Master,17,Suburban,Analyst,44,Male,113966.5065
PhD,6,Rural,Analyst,55,Male,108930.2553
High School,5,Rural,Manager,23,Female,59366.90641
Bachelor,22,Urban,Analyst,27,Female,103772.4592
Master,14,Suburban,Analyst,47,Female,103680.8892
PhD,6,Rural,Director,22,Male,134263.9176
Master,20,Suburban,Director,27,Female,143982.4062
Bachelor,12,Rural,Manager,30,Male,90022.12548
Master,9,Rural,Manager,25,Male,100622.2374
Bachelor,1,Rural,Manager,60,Female,90091.88495
High School,18,Urban,Analyst,42,Male,73807.1989
Master,6,Suburban,Analyst,63,Male,85629.70656
Master,29,Rural,Analyst,21,Male,102870.9411
PhD,5,Suburban,Analyst,26,Female,115954.1188
High School,2,Rural,Analyst,48,Male,70374.09661
PhD,6,Suburban,Analyst,25,Female,112071.794
Master,17,Suburban,Director,60,Male,128637.2614
PhD,7,Rural,Manager,30,Male,142237.712
High School,25,Suburban,Manager,27,Female,89427.188
High School,9,Urban,Analyst,49,Male,49515.33137
Master,23,Urban,Engineer,56,Male,107272.0355
High School,20,Suburban,Director,38,Female,107266.6397
Master,5,Suburban,Manager,22,Female,116663.5454
PhD,21,Rural,Director,61,Male,159261.2571
Master,11,Rural,Analyst,49,Male,95422.43442
Master,11,Suburban,Director,52,Male,118732.8797
PhD,28,Suburban,Manager,45,Male,150828.3688
High School,4,Suburban,Director,56,Male,80360.31217
High School,23,Suburban,Director,39,Male,89616.88844
High School,29,Urban,Engineer,52,Female,94614.4991
Bachelor,6,Suburban,Director,47,Male,88404.03831
Master,27,Rural,Manager,46,Female,123672.4124
High School,10,Urban,Manager,48,Female,77959.92128
Bachelor,9,Suburban,Manager,43,Male,87089.80187
Master,29,Rural,Manager,38,Female,106944.9464
PhD,18,Urban,Analyst,25,Male,137478.6966
Master,20,Suburban,Engineer,21,Female,107442.4924
Master,9,Suburban,Analyst,41,Male,112257.0796
PhD,28,Suburban,Manager,54,Male,149580.1772
Bachelor,11,Suburban,Director,21,Female,100586.4041
High School,2,Urban,Manager,49,Female,72915.21947
High School,15,Rural,Manager,54,Male,85534.39749
High School,6,Suburban,Engineer,34,Female,55365.92337
PhD,25,Urban,Engineer,62,Male,155147.3769
PhD,17,Urban,Director,50,Male,171403.0364
High School,4,Rural,Analyst,29,Female,58903.22811
Master,8,Urban,Manager,47,Female,134264.3149
Master,29,Urban,Engineer,27,Male,141926.4602
High School,2,Rural,Director,32,Male,87148.82294
High School,24,Urban,Manager,49,Male,110043.2632
PhD,9,Urban,Analyst,56,Male,126080.6953
High School,1,Rural,Analyst,58,Male,41707.761
Bachelor,24,Urban,Engineer,48,Male,81377.56365
Master,6,Rural,Analyst,41,Male,77772.6688
High School,16,Suburban,Director,43,Female,86517.17201
High School,27,Suburban,Engineer,57,Male,78182.64913
PhD,26,Suburban,Manager,40,Male,149472.0554
Bachelor,26,Suburban,Engineer,33,Male,90992.3951
PhD,7,Urban,Director,60,Male,131042.2239
High School,25,Suburban,Director,61,Female,98697.76834
Master,24,Rural,Analyst,21,Male,107105.8207
Bachelor,16,Rural,Manager,28,Female,87924.45958
Bachelor,6,Rural,Director,59,Female,88578.47838
Bachelor,10,Rural,Analyst,64,Female,65598.43408
PhD,18,Suburban,Manager,29,Female,139034.7626
High School,17,Rural,Manager,37,Female,68436.97173
High School,17,Suburban,Director,45,Female,104598.7533
High School,12,Rural,Manager,43,Female,74409.96732
Bachelor,15,Rural,Manager,60,Female,85276.82082
Bachelor,6,Suburban,Analyst,30,Female,73195.52219
Master,23,Suburban,Engineer,46,Male,106197.1439
Bachelor,20,Urban,Manager,33,Male,120121.683
High School,16,Urban,Analyst,51,Female,84841.86725
High School,23,Urban,Analyst,41,Female,90520.01983
Bachelor,14,Rural,Analyst,53,Female,67553.07369
Master,12,Rural,Director,21,Male,121087.3298
Bachelor,12,Rural,Director,52,Male,97984.29324
Bachelor,2,Urban,Engineer,63,Female,87620.13106
PhD,8,Urban,Director,26,Female,137920.902
Bachelor,24,Urban,Analyst,54,Male,92241.08306
High School,27,Rural,Analyst,50,Female,67867.82972
High School,17,Suburban,Engineer,46,Male,73532.88469
